	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	fdr_p
Polyglycerolphosphate_lipoteichoic_acid_biosynthesis	8290	7039	6600	6324	7420	7047	4795	0	3384	21	5366	6051	7299	6002	4207	0	0	83	10128	7048	0	0	0	4790	0	0	5162	3495	6399	5145	4970	4069.83333333333	3205.42003362337	99.1727662535761	3.63036219864992e-13	2.75181454657664e-10	1.13399528853805e-11
ABC_transporter_of_unknown_substrate_X	9168	9594	12931	8577	12928	12664	2260	49	7498	274	3766	5874	5129	4145	7965	0	265	11	11591	10675	35	0	0	4234	0	0	3317	1809	7248	3121	3955.5	4837.6	4556.86889325827	98.3394932395338	4.01301517656056e-13	3.0418655038329e-10	1.13399528853805e-11
Cadmium_resistance	17639	14454	12260	13910	16739	16521	5961	0	10146	32	7366	11242	13520	10785	2644	0	0	0	16282	10658	10	0	0	8973	0	0	9639	8124	14274	9302	9137.5	7682.7	6378.51554533412	98.3296846245347	4.01776954954171e-13	3.04546931855262e-10	1.13399528853805e-11
Proline_Synthesis	31934	35333	37546	33105	30608	36315	15933	0	24537	0	17361	23866	29858	15317	18102	0	0	0	35811	35719	0	0	0	24165	0	0	20281	12138	27927	0	17731.5	16861.8666666667	14575.953607494	98.2854269980954	4.03929720191652e-13	3.06178727905272e-10	1.13399528853805e-11
tRNA_modification_Bacteria	410041	433085	402828	324060	412238	457985	232877	0	343536	0	207340	358009	512311	199269	271628	0	0	0	461816	320469	0	0	0	277459	0	0	220456	195121	351041	213323	226666.5	220163.066666667	177749.103484219	95.3742543567753	5.7678739374709e-13	4.37204844460294e-10	1.55111138119629e-11
Deoxyribose_and_Deoxynucleoside_Catabolism	35687	39297	44774	35523	48595	42799	9430	0	24786	0	7265	26793	31543	17752	16623	0	0	0	45255	32429	0	0	0	18461	0	0	21268	15939	28588	20960	18106.5	18792.2333333333	16760.9675131885	95.1450472622755	5.93433114178e-13	4.49822300546924e-10	1.55111138119629e-11
CBSS-193567.1.peg.90	7190	6985	6093	5815	6083	6759	2449	0	3311	3	3357	4375	4958	5400	2412	0	0	2	8409	5214	0	0	0	4677	0	0	3922	2239	5881	3922	3639.5	3315.2	2763.43371363512	94.1125215863721	6.75084236980164e-13	5.11713851630964e-10	1.70571283876988e-11
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	0	51876	0	22861	59553	55756	26405	37078	0	0	0	53747	50943	0	0	0	46899	0	0	28689	25485	36029	33064	31683	28517.7	22626.9965674969	92.674773685661	8.09501636954448e-13	6.13602240811472e-10	1.97936206713378e-11
Unknown_carbohydrate_utilization_(_cluster_Yeg_)	4320	2804	2383	3330	0	0	0	6755	0	8198	0	0	0	0	0	8935	10284	6871	3479	0	7187	6778	5373	0	7203	6774	0	0	3297	0	2593.5	3132.36666666667	3433.05857884003	89.5771954329023	1.20728793743003e-12	9.15124256571966e-10	2.85976330178739e-11
CBSS-243265.1.peg.198	35623	36221	33737	31585	33976	38668	24507	0	32639	0	27603	36531	50858	21988	30047	0	0	0	38240	33115	0	0	0	25933	0	0	17264	20765	30812	16877	25220	20566.3	16196.2005530671	89.0281590695635	1.29754736792293e-12	9.83540904885585e-10	2.98042698450177e-11
Peptide_methionine_sulfoxide_reductase	34213	33847	29369	29257	31918	33590	23738	0	21802	0	30101	40014	48086	23315	23244	0	0	0	33816	27661	0	0	0	25721	0	0	21346	24389	27549	20812	23526.5	19459.6	15058.913787361	88.3772559795804	1.41404473584167e-12	1.07184590976798e-09	3.15248796990584e-11
Sporulation-related_Hypotheticals	27241	25930	23881	25545	24393	28649	25353	0	24824	0	24626	37149	41756	17578	22491	0	0	0	29528	27220	0	0	0	18544	0	0	19268	20180	23482	19199	21335.5	16894.5666666667	13063.9962774329	88.1386958669225	1.45951391979776e-12	1.1063115512067e-09	3.16089014630485e-11
Universal_GTPases	394805	365459	329376	356852	355422	408469	319267	0	371116	0	313810	513560	593236	232845	318074	0	0	0	404566	374733	0	0	0	275539	0	0	275251	283880	332832	271492	298845	236352.8	183134.361781914	87.2944562961832	1.63346993900151e-12	1.23817021376314e-09	3.43936170489762e-11
Heme_and_Siroheme_Biosynthesis	112158	109188	102777	99431	102814	117009	84964	0	110196	0	41381	86720	151788	65238	57693	0	0	0	109935	104226	0	0	0	68559	0	0	58239	60665	98617	47252	62951.5	59628.3333333333	48581.5350273043	86.9350993813913	1.71416033113671e-12	1.29933353100163e-09	3.51171224595034e-11
tRNAmodification_position_34	142124	135460	124582	120779	132262	148070	84145	0	123802	0	83533	150031	194921	79984	107600	0	0	0	153811	123142	0	0	0	84826	0	0	85592	75482	118788	84002	84485.5	78431.2	62035.2240749365	86.6278753704448	1.78654254309382e-12	1.35419924766512e-09	3.56368223069768e-11
Phage_DNA_synthesis	12135	13104	12109	10200	12666	14089	0	0	4854	0	0	0	0	0	5099	0	0	0	12562	10395	0	0	0	4978	0	0	4309	0	10062	4190	0	4358.4	5369.99254221533	86.1567340658817	1.90399627210996e-12	1.44322917425935e-09	3.70058762630603e-11
Branched-Chain_Amino_Acid_Biosynthesis	182340	184932	174618	166841	173095	201472	144759	0	181372	0	144357	229266	266759	110468	159234	0	0	0	203460	185925	0	0	0	145295	0	0	94101	126633	155596	98575	144558	110969.933333333	86853.5719055585	85.4812448266133	2.08709189356489e-12	1.58201565532219e-09	3.95503913830547e-11
Coenzyme_A_Biosynthesis	32759	39955	37513	31771	44584	42338	17833	0	32317	0	17385	32649	48592	16179	23391	0	0	0	39320	34026	0	0	0	30651	0	0	18021	25444	33531	18339	20865	20553.2666666667	16784.75131231	85.1560363131858	2.18190795416888e-12	1.65388622926001e-09	4.03386885185368e-11
Pyridoxin_(Vitamin_B6)_Biosynthesis	76369	82898	76811	65237	82201	97149	28886	0	71504	0	26026	78361	86734	38955	43900	0	0	0	90080	62703	0	0	0	55869	0	0	37277	43942	65256	36331	41427.5	41549.6333333333	34771.4507859173	84.1506673564014	2.50547724819753e-12	1.89915175413373e-09	4.51761841736001e-11
Glutaredoxins	6410	7523	7092	5405	6544	7307	1695	26	2354	45	1531	2397	4136	1671	3202	2	533	130	6496	5876	0	3	0	2542	21	0	860	1430	5526	818	1683	2719.16666666667	2727.45513675083	83.8086394540733	2.62701147184787e-12	1.99127469566068e-09	4.51761841736001e-11
RuvABC_plus_a_hypothetical	34830	31925	29199	32112	35276	34877	28237	0	34144	0	29911	44374	48572	17110	25985	0	0	0	34916	34747	0	0	0	19919	0	0	21945	23288	29583	21678	24636.5	20420.9333333333	15987.9111743698	83.6955586562132	2.66857369227635e-12	2.02277885874547e-09	4.51761841736001e-11
Anaerobic_Oxidative_Degradation_of_L-Ornithine	5781	4803	2690	4531	5701	5533	712	0	3556	0	1942	2647	991	872	146	0	0	0	7623	5188	0	0	0	1240	0	0	87	1153	4416	111	931.5	1990.76666666667	2360.47208433388	83.6595308286424	2.68196344038523e-12	2.032928287812e-09	4.51761841736001e-11
CBSS-257314.1.peg.488	47177	50411	45505	42500	49124	50140	40473	0	42307	0	43603	61903	77063	28668	40414	0	0	0	47696	45453	0	0	0	34341	0	0	32153	35511	40593	32282	37962.5	29577.2333333333	23034.1968381396	80.7054359649654	4.06893136451919e-12	3.08424997430554e-09	6.70489124849031e-11
Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	14658	12433	10944	11224	14175	14202	9965	0	9548	0	4805	10682	16969	9076	4921	0	0	0	15048	12076	0	0	0	12278	0	0	11837	8103	11272	11373	9756.5	7519.63333333333	5956.33519866458	80.3532405819783	4.27996969925176e-12	3.24421703203283e-09	6.9025894298571e-11
De_Novo_Purine_Biosynthesis	244943	243195	218107	217778	214013	257422	207896	0	216165	0	182597	261966	387780	141213	210346	0	0	0	255548	225974	0	0	0	185674	0	0	142891	168359	210280	140449	184135.5	144419.866666667	113033.311039111	79.2980405021432	4.98576719116238e-12	3.77921153090108e-09	7.87335735604392e-11
Glutathione:_Redox_cycle	13448	16803	15680	13855	16542	17279	3104	25	6911	0	0	6442	9443	5302	9221	2	535	130	18864	13820	0	0	0	5383	21	0	3959	3524	11077	3782	4630.5	6505.06666666667	6555.23391272765	78.7616733659899	5.39160363248685e-12	4.08683555342503e-09	8.34048072127557e-11
Queuosine-Archaeosine_Biosynthesis	97399	93165	86907	81766	86529	102883	63716	0	94079	0	55602	87142	143635	53645	62861	0	0	0	103612	74302	0	0	0	70263	0	0	54980	54509	84306	54599	59231.5	53530	42687.7391877986	78.1692249041849	5.88149625449152e-12	4.45817416090457e-09	8.91634832180914e-11
Threonine_anaerobic_catabolism_gene_cluster	48561	45598	42677	43116	44897	52012	0	0	45199	0	2356	3777	0	29269	3381	0	0	0	47979	46142	0	0	0	36497	0	0	27043	0	40962	0	2868.5	18648.8666666667	21582.5811944747	77.8251919680152	6.18775142143056e-12	4.69031557744436e-09	9.19669721067522e-11
Fermentations:_Lactate	75217	63488	60523	65659	62138	73154	32915	0	63227	0	0	18194	0	43855	9097	0	0	0	70066	63040	0	0	0	49075	0	0	41992	0	63007	0	13645.5	28488.2333333333	30496.2729024987	77.2081369121573	6.78080946939037e-12	5.1398535777979e-09	9.88433380345751e-11
CBSS-326442.4.peg.1852	58524	67865	59825	55124	65699	66598	33738	0	49632	0	35907	57477	89189	35907	42810	0	0	0	67218	56176	0	0	0	38366	0	0	35182	31302	49172	30853	35907	34218.8	27715.79500922	76.2730673769325	7.79891172130799e-12	5.91157508475146e-09	1.1153915254248e-10
Entner-Doudoroff_Pathway	137945	131174	113657	122250	126775	152385	122611	0	137959	0	100519	180819	224616	83313	115004	0	0	0	142687	131374	0	0	0	107718	0	0	95741	102071	120256	94877	104894.5	84791.7	66295.4295388037	76.0468795442211	8.06909282942563e-12	6.11637236470463e-09	1.13266154901938e-10
Ethanolamine_utilization	66624	55477	46367	54051	54162	61368	0	0	48356	0	0	0	0	35737	10083	0	19417	0	65574	58196	0	0	0	0	0	0	37419	0	54629	27863	5041.5	23177.4333333333	26335.5783549271	75.331107501291	8.99243565953543e-12	6.81626622992785e-09	1.23932113271416e-10
Arginine_Biosynthesis_extended	41008	46493	51734	46574	43536	53573	49084	0	46861	0	42544	71362	78947	28203	51117	0	0	0	56546	47715	0	0	0	46330	0	0	31665	39530	52127	30948	41776	31863.2333333333	24917.741276508	74.4631950612064	1.02669732947033e-11	7.78236575738513e-09	1.38970817096163e-10
tRNA_aminoacylation,_Trp	22934	21106	18672	20088	19833	22861	19501	0	19822	0	21513	28809	37780	14568	19236	0	0	0	23914	20953	0	0	0	16515	0	0	15101	17028	19284	14797	17850	13810.5	10805.0045197776	73.7801659592304	1.14063257195588e-11	8.64599489542559e-09	1.51145770388022e-10
CBSS-320372.3.peg.6046	28483	32858	33129	27769	33185	30726	31389	0	30969	0	29397	44538	47972	17240	25528	0	0	0	29916	31096	0	0	0	23006	0	0	19926	23555	24612	19878	24083.5	19505.7333333333	15286.9648211696	73.6907575431512	1.15652436444660e-11	8.76645468250527e-09	1.51145770388022e-10
Serotype_determining_Capsular_polysaccharide_biosynthesis_in_Staphylococcus	69	61	58	0	57	36	192	3037	24	2248	547	329	744	0	483	3500	2811	3601	0	22	2683	2888	3784	401	6509	3243	0	333	101	24	331	1259.5	1702.72057662699	73.5322070251475	1.18529354070718e-11	8.98452503856044e-09	1.51349406147854e-10
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	38654	37277	34438	37255	34231	39636	30665	0	36056	0	32568	48097	57409	24092	32412	0	0	0	43165	38463	0	0	0	26988	15527	0	25483	26877	32819	25388	28826.5	23916.6666666667	17603.6486330363	73.3879197179444	1.21214334833656e-11	9.18804658039112e-09	1.51349406147854e-10
Unknown_sugar_utilization_(cluster_yphABCDEFG)	0	0	8	0	0	0	0	3035	0	6115	0	0	0	0	0	6573	9361	3457	0	0	5831	4844	6531	0	8682	10203	0	0	0	0	0	2154.66666666667	3371.82827039834	73.3402114192464	1.22116430494246e-11	9.25642543146384e-09	1.51349406147854e-10
Nitric_oxide_synthase	6289	5830	5800	5269	6220	6361	5994	0	5302	549	6768	8244	11310	3564	7382	0	0	0	7002	5646	0	0	0	4508	0	0	6743	4572	4995	6685	5285.5	4167.76666666667	3234.75267597272	73.2524361290823	1.23795028775289e-11	9.38366318116694e-09	1.51349406147854e-10
CBSS-176299.4.peg.1996B	70105	64941	59746	51360	60029	69957	58655	0	65828	0	42199	56962	100588	36886	52160	0	0	0	70805	54696	0	0	0	54257	0	0	29427	32941	60230	42549	46954.5	37810.7	30105.4290397184	72.9155519965269	1.3047133640131e-11	9.8897272992193e-09	1.56979798400306e-10
tRNAs	480	461	382	331	381	421	184	0	197	0	201	258	310	376	123	0	0	0	475	302	0	0	0	305	0	0	284	132	326	309	229.5	207.933333333333	172.771112953712	72.4609497749139	1.40100473398465e-11	1.06196158836036e-08	1.65931498181307e-10
HPr_catabolite_repression_system	12661	10017	8502	9736	10980	10904	0	0	7457	0	0	0	0	8357	4376	0	0	0	12190	9041	0	0	0	0	0	0	4720	0	10170	4616	0	4124.23333333333	4838.20898526071	72.1642025179444	1.46796024991231e-11	1.11271386943353e-08	1.7118674914362e-10
Arginine_Deiminase_Pathway	35881	39079	36341	34464	41888	41140	14160	4979	32669	6010	15188	23496	0	16448	32111	3771	0	6850	43008	43501	4814	0	3247	0	0	0	10918	22684	29365	10828	14674	18428	16023.3554645969	71.6536955096796	1.59132403039754e-11	1.20622361504133e-08	1.82761153794141e-10
Ribonucleotide_reductase_cluster	47366	35758	45797	35132	40141	42026	29021	0	45022	12101	33244	50286	63800	22487	34968	0	8603	0	43373	41803	0	0	0	28192	0	0	31249	29560	38636	30526	30887.5	26303.0333333333	19205.3482753675	71.5562613102982	1.61611019843157e-11	1.22501153041113e-08	1.82837541852407e-10
CBSS-312309.3.peg.1965	59559	64240	60154	55387	60336	69131	59759	0	56199	0	44865	64292	104307	36970	55345	0	0	0	68885	59329	0	0	0	54231	0	0	32219	36736	50924	47306	49115	38005.8	29975.252927983	71.0929951645622	1.73976842682388e-11	1.3187444675325e-08	1.93933009931251e-10
CBSS-344610.3.peg.2335	14238	15875	15178	13911	14138	15896	12848	0	14157	0	14766	21817	22379	9260	13688	0	0	0	16692	15993	0	0	0	12214	0	0	7823	11443	12271	7767	12242.5	9411.8	7413.39178923451	70.9515413989277	1.77952271365786e-11	1.34887821695266e-08	1.95489596659806e-10
Spore_Coat	6505	5949	5893	5272	6290	6429	6027	0	5303	666	6768	8344	11476	3619	7455	0	0	0	7734	5660	0	0	0	4560	0	0	6932	4661	5141	6875	5287.5	4251.96666666667	3298.66538825601	70.5964640362789	1.88367703879706e-11	1.42782719540817e-08	2.03975313629739e-10
Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	187625	170888	151131	168586	167694	198764	163270	0	187060	0	127698	211433	307279	102229	160319	0	0	0	194176	185822	0	0	0	129206	0	0	115063	128569	160585	113658	128887.5	111035.166666667	87900.3901776611	68.5775756887462	2.61501901374931e-11	1.98218441242197e-08	2.79180903158024e-10
Ribonucleotide_reduction	107411	90609	95652	92081	91633	103127	83953	0	86300	0	93189	137193	151288	60720	83179	0	47003	0	108435	99975	0	0	0	76801	0	0	75409	72881	87362	74231	79990	63947.7333333333	46692.2086839818	68.3625086770667	2.70930380441203e-11	2.05365228374432e-08	2.85229483853378e-10
Cluster_Ytf_and_putative_sugar_transporter	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	67.2820321244516	3.24157762979994e-11	2.45711584338836e-08	3.31994635958211e-10
Putative_sugar_ABC_transporter_(ytf_cluster)	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	67.2820321244516	3.24157762979994e-11	2.45711584338836e-08	3.31994635958211e-10
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636	2098.5	3320.86666666667	3243.57212337574	67.1843009905588	3.29498789445605e-11	2.49760082399769e-08	3.31994635958211e-10
Stringent_Response,_(p)ppGpp_metabolism	45744	45501	42287	40148	42450	49998	41248	0	42730	0	40970	58445	79644	27965	41206	0	0	0	45801	43758	0	0	0	37189	0	0	27829	35794	38516	27558	37852.5	28492.7	22474.9267378653	67.1234749399039	3.32870611250976e-11	2.5231592332824e-08	3.31994635958211e-10
Experimental-yggC	8305	9026	8288	8477	9635	9888	4787	0	7664	0	6028	0	10647	4702	7179	0	900	0	10608	8332	0	0	0	5942	15	0	4379	5177	6606	4216	4982	4693.36666666667	3944.53819230778	66.08891519918	3.96274360058638e-11	3.00375964924448e-08	3.86591518230611e-10
Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	5302	5044	4472	4044	4918	4835	2176	0	2607	0	3044	3543	4198	3989	2306	0	0	0	6158	4114	0	0	0	0	0	0	3272	1913	4114	3131	2825.5	2439.33333333333	2093.5223302192	66.0045436405055	4.01989363960864e-11	3.04707937882335e-08	3.86591518230611e-10
Pentose_phosphate_pathway	124077	124790	108353	112350	121565	137667	83616	0	108338	0	85025	137523	204171	72473	104999	0	0	0	126658	114610	0	0	0	106059	0	0	70369	79023	106096	69073	84320.5	73227.8333333333	58331.6666279299	65.9910434047462	4.02912004488368e-11	3.05407299402183e-08	3.86591518230611e-10
Leucine_Biosynthesis	75047	78720	76346	71837	72658	85397	73264	0	75209	0	66889	115094	125020	47649	73329	0	0	0	86595	80422	0	0	0	65482	0	0	43510	59427	64401	43034	64941.5	49311	39015.2397421563	65.7004447542602	4.23333852928629e-11	3.20887060519901e-08	4.01108825649876e-10
Polyadenylation_bacterial	64004	64315	57493	58618	59639	69896	36403	0	58980	0	37928	64330	111879	38275	57430	0	0	0	68569	62155	0	0	0	50679	0	0	43442	48714	54642	42657	46078	38334.9333333333	30619.7073117538	63.4323692429498	6.26661372040486e-11	4.75009320006688e-08	5.86431259267517e-10
Sialic_Acid_Metabolism	175948	174130	162269	150807	179744	181146	109923	0	130050	0	63932	0	0	93964	122304	0	0	0	184687	163262	0	0	0	129432	0	0	106250	0	139712	108731	100107	79209.7	75262.2162498417	62.9623754196778	6.80707859307812e-11	5.15976557355322e-08	6.29239704091856e-10
CBSS-176279.3.peg.1262	1234	1165	1034	1040	1311	1276	495	0	672	0	0	885	1095	958	443	0	0	6	1438	1018	0	0	0	953	0	0	796	562	967	730	701	602.6	515.503276018889	62.3037718774796	7.65032453657570e-11	5.79894599872438e-08	6.98668192617396e-10
Tellurite_resistance:_Chromosomal_determinants	5892	6717	6079	4974	8892	6742	3268	17	4351	92	3533	3977	8215	3942	4413	5	296	0	6067	5299	0	17	0	5377	19	0	2325	2700	6447	2333	3737.5	3399.63333333333	2836.5525516304	62.1446576404938	7.87044597990624e-11	5.96579805276893e-08	7.10214053901063e-10
Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family)	43335	50658	49038	44096	46953	52960	33387	0	39800	0	35818	0	64504	26381	41791	0	0	0	52630	46988	0	0	0	34396	0	0	28173	32747	36079	29613	33067	26311.5666666667	21833.3665903318	60.5989266155358	1.04002791553385e-10	7.88341159974656e-08	9.27460188205478e-10
