	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
Polyglycerolphosphate_lipoteichoic_acid_biosynthesis	8290	7039	6600	6324	7420	7047	4795	0	3384	21	5366	6051	7299	6002	4207	0	0	83	10128	7048	0	0	0	4790	0	0	5162	3495	6399	5145	4970	4069.83333333333	3205.42003362337	136.292453592684	2.84246203267454e-12	2.1545862207673e-09	6.15596063076371e-11
tRNAmodification_position_34	142124	135460	124582	120779	132262	148070	84145	0	123802	0	83533	150031	194921	79984	107600	0	0	0	153811	123142	0	0	0	84826	0	0	85592	75482	118788	84002	84485.5	78431.2	62035.2240749365	133.651805180878	3.57179453808658e-12	2.70742025986962e-09	7.52061183297118e-11
Leucine_Biosynthesis	75047	78720	76346	71837	72658	85397	73264	0	75209	0	66889	115094	125020	47649	73329	0	0	0	86595	80422	0	0	0	65482	0	0	43510	59427	64401	43034	64941.5	49311	39015.2397421563	133.152576478716	3.73097811042765e-12	2.82808140770416e-09	7.61166621726675e-11
cAMP_signaling_in_bacteria	25300	25924	24301	23973	30854	30606	13970	0	21696	0	15454	21461	26539	13150	13930	0	0	0	26597	24987	0	0	0	19313	0	0	16518	12534	20742	16709	15986	14151.9333333333	11201.0471983752	132.616764187202	3.91032182307697e-12	2.96402394189234e-09	7.61166621726675e-11
CBSS-296591.1.peg.2330	49572	43705	42716	44549	43495	51039	25270	0	46855	0	21620	34829	41511	29818	23164	0	0	0	50536	48871	0	0	0	31402	0	0	38400	16348	41781	37796	30610	25442.5666666667	20138.7410004104	132.516841108327	3.94477793941276e-12	2.99014167807487e-09	7.61166621726675e-11
Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	187625	170888	151131	168586	167694	198764	163270	0	187060	0	127698	211433	307279	102229	160319	0	0	0	194176	185822	0	0	0	129206	0	0	115063	128569	160585	113658	128887.5	111035.166666667	87900.3901776611	132.31121700307	4.0167104048901e-12	3.0446664869067e-09	7.61166621726675e-11
Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	14658	12433	10944	11224	14175	14202	9965	0	9548	0	4805	10682	16969	9076	4921	0	0	0	15048	12076	0	0	0	12278	0	0	11837	8103	11272	11373	9756.5	7519.63333333333	5956.33519866458	131.436665188649	4.33873289368964e-12	3.28875953341674e-09	8.0213647156506e-11
Ribonucleotide_reductase_cluster	47366	35758	45797	35132	40141	42026	29021	0	45022	12101	33244	50286	63800	22487	34968	0	8603	0	43373	41803	0	0	0	28192	0	0	31249	29560	38636	30526	30887.5	26303.0333333333	19205.3482753675	130.617231140095	4.66565919891017e-12	3.53656967277391e-09	8.42040398279503e-11
Purine_conversions	200048	193279	178733	171311	191410	227444	145940	0	170225	0	121125	193838	247548	106190	138426	0	0	0	232848	191097	0	0	0	139697	0	0	96849	106341	169360	95641	129775.5	110578.333333333	87733.4629601984	129.02122038264	5.38068695568384e-12	4.07856071240835e-09	9.3172244077717e-11
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	0	51876	0	22861	59553	55756	26405	37078	0	0	0	53747	50943	0	0	0	46899	0	0	28689	25485	36029	33064	31683	28517.7	22626.9965674969	128.963989796939	5.40841522350864e-12	4.09957873941955e-09	9.3172244077717e-11
CBSS-176299.4.peg.1996B	70105	64941	59746	51360	60029	69957	58655	0	65828	0	42199	56962	100588	36886	52160	0	0	0	70805	54696	0	0	0	54257	0	0	29427	32941	60230	42549	46954.5	37810.7	30105.4290397184	124.085235715844	8.44208658511947e-12	6.39910163152056e-09	1.40166088093951e-10
Rhamnose_containing_glycans	69230	59651	56815	60243	59229	72953	43781	0	60327	0	35782	48436	82313	40639	32295	0	0	0	82799	68261	0	0	0	46253	0	0	45566	29028	60115	45046	44413.5	36625.4	29163.4393856417	124.0037737695	8.5061214410577e-12	6.44764005232174e-09	1.40166088093951e-10
Pentose_phosphate_pathway	124077	124790	108353	112350	121565	137667	83616	0	108338	0	85025	137523	204171	72473	104999	0	0	0	126658	114610	0	0	0	106059	0	0	70369	79023	106096	69073	84320.5	73227.8333333333	58331.6666279299	123.473133021551	8.93619220348666e-12	6.77363369024289e-09	1.44119865749849e-10
Queuosine-Archaeosine_Biosynthesis	97399	93165	86907	81766	86529	102883	63716	0	94079	0	55602	87142	143635	53645	62861	0	0	0	103612	74302	0	0	0	70263	0	0	54980	54509	84306	54599	59231.5	53530	42687.7391877986	122.019366933721	1.02383112746412e-11	7.76063994617805e-09	1.60912397973341e-10
Propionyl-CoA_to_Succinyl-CoA_Module	14827	13082	8839	14330	12247	15595	15264	39274	23755	37042	10152	28889	23100	6516	17769	54449	36351	48391	19771	13386	35758	35950	37606	4789	38255	38174	12566	15736	13085	12690	16752.5	23254.6	13455.1132380324	121.850781512448	1.04019887871948e-11	7.88470750069369e-09	1.60912397973341e-10
Unknown_carbohydrate_utilization_(_cluster_Yeg_)	4320	2804	2383	3330	0	0	0	6755	0	8198	0	0	0	0	0	8935	10284	6871	3479	0	7187	6778	5373	0	7203	6774	0	0	3297	0	2593.5	3132.36666666667	3433.05857884003	121.538709484928	1.0712421689256e-11	8.12001564045608e-09	1.62400312809122e-10
Ribosomal_protein_S12p_Asp_methylthiotransferase	44876	40175	39206	40134	40248	46911	45301	0	46496	0	39126	67372	81505	21845	47446	0	0	0	44937	42521	0	0	0	31135	0	0	36620	39802	36861	35902	37993.5	28947.3	23106.0833207218	120.789227854347	1.14992560689106e-11	8.71643610023425e-09	1.70910511769299e-10
Polyadenylation_bacterial	64004	64315	57493	58618	59639	69896	36403	0	58980	0	37928	64330	111879	38275	57430	0	0	0	68569	62155	0	0	0	50679	0	0	43442	48714	54642	42657	46078	38334.9333333333	30619.7073117538	119.943189250525	1.24625272158697e-11	9.44659562962926e-09	1.81665300569793e-10
Transport_of_Nickel_and_Cobalt	0	0	494	0	0	0	98	13324	0	12664	0	0	0	0	0	16009	0	14260	0	889	16257	10241	9515	0	9730	10820	0	0	0	0	0	3810.03333333333	5972.76447565189	118.975128078721	1.3671920385606e-11	1.03633156522893e-08	1.95534257590364e-10
Serine-glyoxylate_cycle	339550	321756	310944	298716	303344	351702	239447	0	346001	0	193421	308069	621955	183785	242481	0	0	0	343993	314844	0	0	0	270455	0	0	252344	268454	289412	248470	250407	201638.1	162027.028795507	112.743959180582	2.51952968958278e-11	1.90980350470375e-08	3.53667315685879e-10
Protein_chaperones	129561	119988	104278	106387	116217	134485	97424	0	100855	0	91459	147432	208615	56046	93433	0	0	0	129228	101590	0	0	0	85488	0	0	76108	92592	113119	75021	92025.5	72644.2	58405.8497651238	112.119350889599	2.68277202801756e-11	2.03354119723731e-08	3.69734763134056e-10
tRNA_modification_Bacteria	410041	433085	402828	324060	412238	457985	232877	0	343536	0	207340	358009	512311	199269	271628	0	0	0	461816	320469	0	0	0	277459	0	0	220456	195121	351041	213323	226666.5	220163.066666667	177749.103484219	107.617728458396	4.25391538302968e-11	3.22446786033649e-08	5.75797832202946e-10
tRNA_aminoacylation,_Ile	51881	48852	42604	46153	45637	54350	52483	0	50217	0	52593	81757	92249	31279	47574	0	0	0	54006	47643	0	0	0	37482	19734	0	40100	43523	44309	38655	43063.5	34102.7	25989.8953403712	105.633965241027	5.23788175242826e-11	3.97031436834062e-08	6.96546380410636e-10
Streptococcus_pyogenes_virulence_regulators	8608	9445	9778	9398	7238	7917	7309	2346	6312	1494	8662	10262	13832	5842	5111	2092	1638	2865	9784	6691	1398	2251	0	9412	632	0	7675	6642	7340	7366	6964.5	5978	3648.56680412158	104.737000473863	5.76051592802575e-11	4.36647107344351e-08	7.52839840248882e-10
CBSS-326442.4.peg.1852	58524	67865	59825	55124	65699	66598	33738	0	49632	0	35907	57477	89189	35907	42810	0	0	0	67218	56176	0	0	0	38366	0	0	35182	31302	49172	30853	35907	34218.8	27715.79500922	104.349572016258	6.00329921636605e-11	4.55050080600547e-08	7.71271323051774e-10
Heat_shock_dnaK_gene_cluster_extended	179187	185011	178146	162154	182818	206703	108824	0	145681	0	92336	173921	217829	80179	109232	0	0	0	209112	158901	0	0	0	96366	0	0	93518	103624	160037	92588	99995	97872.2333333333	79378.5847562754	103.043985763834	6.90558160877672e-11	5.23443085945276e-08	8.72405143242126e-10
Iojap	155823	181729	166648	127505	176257	195764	93718	0	118596	0	76014	134238	171387	79897	82671	0	0	0	182405	141320	0	0	0	107122	0	0	90487	82100	129373	85999	88243	85968.4333333333	69981.617132365	99.5944338986841	1.00662036296169e-10	7.63018235124961e-08	1.25084956577863e-09
Heme_and_Siroheme_Biosynthesis	112158	109188	102777	99431	102814	117009	84964	0	110196	0	41381	86720	151788	65238	57693	0	0	0	109935	104226	0	0	0	68559	0	0	58239	60665	98617	47252	62951.5	59628.3333333333	48581.5350273043	98.8190060057344	1.09716531585372e-10	8.31651309417118e-08	1.34137307970503e-09
Ribosomal_protein_S5p_acylation	9090	7943	7893	8413	8436	9538	10601	0	8903	0	10582	14960	17886	6014	8797	0	0	0	8460	9422	3659	0	0	7471	0	0	7603	8439	7725	7411	7809	6308.2	4846.59605681462	97.8714212863787	1.21982803963857e-10	9.24629654046034e-08	1.44760146226312e-09
Flavohaemoglobin	17752	18052	16932	13772	17245	20456	18976	3	19579	1196	18974	25575	37702	10135	20206	0	446	0	17476	14170	0	14	0	16210	0	0	13339	16387	16173	13027	15171.5	12126.5666666667	9755.42863436712	97.8537601446511	1.22224925573667e-10	9.26464935848396e-08	1.44760146226312e-09
tRNA_aminoacylation,_Met	34768	32630	29819	31875	30032	35610	30128	0	31750	0	31955	45870	54623	21404	30001	0	18894	0	36322	33403	0	0	0	24095	14578	0	23964	26502	28922	23666	27712	22360.3666666667	15525.5549547842	96.8468454945921	1.3691812112667e-10	1.03783935814016e-07	1.58719263833747e-09
Coenzyme_A_Biosynthesis	32759	39955	37513	31771	44584	42338	17833	0	32317	0	17385	32649	48592	16179	23391	0	0	0	39320	34026	0	0	0	30651	0	0	18021	25444	33531	18339	20865	20553.2666666667	16784.75131231	96.7646258364142	1.38198831306429e-10	1.04754714130273e-07	1.58719263833747e-09
Calvin-Benson_cycle	157281	149111	131558	142037	144912	164849	133871	0	144687	0	124149	189457	258161	89515	136989	0	83133	0	161615	145054	0	0	0	119434	0	0	87897	112589	132720	86247	121791.5	96508.8666666667	72060.5447674975	96.3359712721991	1.45087076488838e-10	1.09976003978539e-07	1.64143289520208e-09
Unknown_carbohydrate_utilization_(_cluster_Ydj_)	22705	22817	20394	19178	20802	22417	15719	4008	16530	3615	17485	23422	30146	14665	15165	6017	5454	4783	21905	19169	3069	4312	6077	14686	5537	0	12201	14720	18557	11914	14942.5	13915.6333333333	7884.01644745102	94.5130946398743	1.78768945410036e-10	1.35506860620807e-07	1.99274795030599e-09
Cell_division-ribosomal_stress_proteins_cluster	170926	160593	149257	150905	155580	177153	126793	0	149545	0	139569	191339	238462	0	128486	0	0	0	176752	156311	0	0	0	125638	0	0	95566	109128	144116	94189	126215.5	94676.9333333333	78075.4706121311	88.9557132569063	3.44643021099203e-10	2.61239409993196e-07	3.78607840569849e-09
At2g23840	63949	55958	51645	56600	55725	66412	58082	0	64266	0	61487	87304	106633	39608	53783	0	0	39819	65538	60223	0	0	0	46886	24036	0	47570	50189	55801	46420	50917	41931.1333333333	29321.6848292009	88.7299453515384	3.54192119076336e-10	2.68477626259863e-07	3.83539466085518e-09
Nitrate_and_nitrite_ammonification	45396	64884	67274	48478	58905	64525	43150	0	50766	9192	53181	82709	95200	27334	69563	6060	8906	0	68005	57229	5696	2436	0	57996	11248	0	35270	45921	39712	33754	44273	38426.3333333333	28123.873341827	88.2753937543097	3.74288924459893e-10	2.83711004740599e-07	3.99592964423379e-09
Fatty_Acid_Biosynthesis_FASII	127719	131451	126035	117528	133954	151142	69271	0	133594	0	58503	95988	116695	55125	64133	0	0	0	144844	127834	0	0	0	73161	0	0	65883	56152	124099	65727	65805	67961.2666666667	56156.9372224153	87.4861183370375	4.12146087354177e-10	3.12406734214466e-07	4.33898241964536e-09
tRNA_aminoacylation,_Ser	24823	23029	20981	22954	21973	25092	23371	0	22947	9901	23709	33654	40269	15890	20760	0	0	13728	25716	24385	7791	0	0	17423	0	0	17231	19169	20817	17268	19964.5	16429.3666666667	10991.2513594734	86.7172918488202	4.52992339503555e-10	3.43368193343695e-07	4.70367388142048e-09
Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family)	43335	50658	49038	44096	46953	52960	33387	0	39800	0	35818	0	64504	26381	41791	0	0	0	52630	46988	0	0	0	34396	0	0	28173	32747	36079	29613	33067	26311.5666666667	21833.3665903318	84.5321226093401	5.94668257293073e-10	4.50758539028149e-07	6.09133160848851e-09
Cadmium_resistance	17639	14454	12260	13910	16739	16521	5961	0	10146	32	7366	11242	13520	10785	2644	0	0	0	16282	10658	10	0	0	8973	0	0	9639	8124	14274	9302	9137.5	7682.7	6378.51554533412	83.8035339356717	6.51925562994777e-10	4.94159576750041e-07	6.58879435666721e-09
tRNAs	480	461	382	331	381	421	184	0	197	0	201	258	310	376	123	0	0	0	475	302	0	0	0	305	0	0	284	132	326	309	229.5	207.933333333333	172.771112953712	83.6438659958909	6.6524605626574e-10	5.04256510649431e-07	6.63495408749251e-09
Carbon_Starvation	19269	20276	20124	17065	22562	23915	15050	0	22684	0	16431	23919	35769	11554	17859	0	7259	0	19887	19503	0	0	0	19206	0	0	9502	12573	16481	9223	15740.5	12670.3666666667	9932.4043291376	83.1235729460091	7.10714923518549e-10	5.3872191202706e-07	6.9963884678839e-09
Glycolysis_and_Gluconeogenesis	252148	227256	198754	222938	218487	260840	213039	0	242727	0	181344	287894	397657	137945	205268	0	178523	0	254744	234586	0	0	0	171346	0	0	150244	177611	215854	148006	179933.5	152573.7	112184.977346422	82.2050683852414	7.99316708971399e-10	6.05882065400321e-07	7.7677187871836e-09
CBSS-193567.1.peg.90	7190	6985	6093	5815	6083	6759	2449	0	3311	3	3357	4375	4958	5400	2412	0	0	2	8409	5214	0	0	0	4677	0	0	3922	2239	5881	3922	3639.5	3315.2	2763.43371363512	81.4560790773695	8.80331071069317e-10	6.67290951870542e-07	8.4467209097537e-09
Alpha-acetolactate_operon	2520	2431	2009	2292	1922	1861	2130	0	1029	0	2062	2280	2825	2067	1388	0	0	0	3918	1378	2	0	0	1684	0	0	1118	1324	2029	1086	1383	1311.83333333333	1093.7117783141	81.3306939294065	8.94732700038947e-10	6.78207386629522e-07	8.44897166472799e-09
CBSS-251221.1.peg.1863	23640	22537	20266	19839	22063	24841	20209	0	21037	0	22216	0	38845	13682	21536	0	0	0	22436	21177	0	0	0	18472	0	0	14946	17372	20054	14891	17922	13335.3	11120.9271045861	81.2608994411646	9.02858449660907e-10	6.84366704842967e-07	8.44897166472799e-09
tRNA_aminoacylation,_Cys	24691	22174	20250	21817	20968	25444	20809	0	23200	0	0	32655	39256	16542	20528	0	0	0	26402	23167	0	0	0	17328	0	0	16890	17920	20859	16474	17624	14245.8	11900.0769351324	80.2144893030718	1.03465023150021e-09	7.84264875477158e-07	9.56420579850193e-09
tRNA_aminoacylation,_Gly	46802	43986	39753	40680	42658	49253	39863	14114	44055	11915	41477	60731	72782	28923	39097	14769	12342	16123	48166	43296	9871	11984	11948	32472	9492	12405	30230	34552	39729	29303	36824.5	32425.7	16668.1876311402	79.4622634117994	1.14206649320318e-09	8.65686401848008e-07	1.04299566487712e-08
Competence_in_Streptococci	9033	7263	7299	4571	8630	8512	5195	0	3677	14	4540	8577	9091	4680	2100	0	0	29	6103	4609	2	0	0	8969	0	0	10315	4904	5820	9912	4644.5	4461.5	3729.85586067067	79.1051687049087	1.19718851996322e-09	9.07468898132124e-07	1.06883087452637e-08
Pyridoxin_(Vitamin_B6)_Biosynthesis	76369	82898	76811	65237	82201	97149	28886	0	71504	0	26026	78361	86734	38955	43900	0	0	0	90080	62703	0	0	0	55869	0	0	37277	43942	65256	36331	41427.5	41549.6333333333	34771.4507859173	79.0965286369574	1.19855704927099e-09	9.08506243347412e-07	1.06883087452637e-08
